Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,PF,21,MIA,57,686,13.9,.547,.000,.495,11.8,20.6,16.3,6.2,1.3,4.0,13.9,19.3,,0.2,1.0,1.2,.085,,-3.6,-0.8,-4.4,-0.4
2,Jaylen Adams\adamsja01,PG,24,MIL,7,18,-6.5,.125,.250,.000,0.0,16.9,8.8,12.8,0.0,0.0,0.0,18.7,,-0.1,0.0,-0.1,-0.249,,-14.9,-5.0,-19.8,-0.1
3,Steven Adams\adamsst01,C,27,NOP,57,1581,15.4,.601,.010,.436,14.8,20.3,17.6,9.0,1.6,2.2,17.7,11.8,,2.4,1.6,4.0,.120,,-0.2,-0.5,-0.7,0.5
4,Bam Adebayo\adebaba01,C,23,MIA,58,1944,23.0,.626,.011,.446,7.9,22.6,15.4,27.0,1.7,3.3,14.9,24.0,,5.1,3.0,8.1,.200,,3.0,1.9,4.9,3.4
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,674,15.7,.556,.270,.159,3.0,15.8,9.4,11.0,0.8,3.7,7.9,22.2,,0.5,0.7,1.2,.084,,-0.2,-0.4,-0.6,0.2
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,544,15.1,.545,.302,.149,3.3,15.3,9.2,10.2,0.7,2.8,7.0,22.8,,0.3,0.5,0.8,.072,,-0.2,-1.0,-1.2,0.1
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,130,18.2,.611,.104,.208,1.8,18.0,10.2,14.3,1.1,7.4,11.8,19.8,,0.2,0.2,0.4,.136,,-0.2,1.9,1.7,0.1
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,11,34,-2.1,.253,.727,.182,3.4,13.0,8.3,7.1,0.0,2.7,14.4,18.2,,-0.2,0.0,-0.1,-0.178,,-9.4,-3.8,-13.2,-0.1
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,851,12.5,.524,.495,.138,1.3,14.8,8.1,13.7,2.3,2.3,12.4,22.7,,-0.2,0.9,0.7,.037,,-1.6,-0.1,-1.7,0.1
8,Grayson Allen\allengr01,SG,25,MEM,48,1227,13.0,.590,.660,.213,1.5,12.0,6.7,11.2,1.7,0.6,9.5,17.0,,1.5,1.2,2.6,.104,,-0.3,-0.1,-0.3,0.5
9,Jarrett Allen\allenja01,C,22,TOT,55,1613,21.1,.681,.033,.612,11.6,26.8,19.1,8.4,0.8,4.7,13.8,16.7,,4.2,1.9,6.2,.183,,1.9,-0.2,1.7,1.5
9,Jarrett Allen\allenja01,C,22,BRK,12,320,21.5,.730,.000,.938,13.8,28.9,21.7,8.3,1.1,5.2,19.3,15.5,,1.0,0.5,1.4,.215,,1.3,0.6,1.9,0.3
9,Jarrett Allen\allenja01,C,22,CLE,43,1293,21.0,.671,.040,.552,11.0,26.2,18.5,8.5,0.8,4.5,12.6,17.0,,3.3,1.5,4.7,.176,,2.0,-0.4,1.6,1.2
10,Al-Farouq Aminu\aminual01,PF,30,TOT,22,418,8.9,.470,.367,.194,5.1,21.8,13.2,10.5,2.1,2.0,20.8,13.9,,-0.4,0.5,0.1,.010,,-4.9,0.9,-4.0,-0.2
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,367,10.0,.482,.348,.191,5.5,21.0,12.9,11.3,2.3,2.3,20.6,14.3,,-0.3,0.5,0.1,.018,,-4.4,1.2,-3.3,-0.1
10,Al-Farouq Aminu\aminual01,PF,30,CHI,5,51,1.4,.354,.556,.222,2.2,28.1,15.3,4.7,0.9,0.0,23.3,10.9,,-0.1,0.1,-0.1,-0.054,,-8.6,-0.7,-9.3,-0.1
11,Kyle Anderson\anderky01,PF,27,MEM,61,1657,17.1,.570,.393,.274,3.1,20.3,11.5,17.7,2.2,2.7,10.3,18.6,,2.3,2.5,4.8,.139,,1.2,1.7,2.9,2.1
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,54,1787,29.4,.633,.199,.533,5.4,29.0,17.6,29.1,1.7,3.4,13.6,32.9,,6.0,3.1,9.2,.247,,6.3,2.8,9.1,5.0
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,14,53,1.2,.382,.000,1.300,8.6,31.3,20.1,2.4,1.8,6.7,38.9,21.1,,-0.3,0.1,-0.2,-0.158,,-12.3,0.4,-12.0,-0.1
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,51,511,11.1,.540,.208,.315,11.5,13.5,12.6,10.6,1.8,1.7,21.7,15.5,,0.1,0.6,0.7,.069,,-3.2,-0.2,-3.4,-0.2
15,Carmelo Anthony\anthoca01,PF,36,POR,63,1558,14.8,.544,.411,.200,2.1,12.1,6.9,9.4,1.4,2.0,7.0,23.4,,1.5,0.7,2.2,.069,,0.0,-1.6,-1.6,0.2
16,Cole Anthony\anthoco01,PG,20,ORL,39,1065,12.5,.493,.312,.229,3.1,15.0,8.9,25.2,1.2,1.5,13.9,23.2,,-0.4,0.8,0.4,.017,,-1.7,-0.9,-2.6,-0.2
17,OG Anunoby\anunoog01,SF,23,TOR,43,1433,15.4,.605,.503,.197,4.0,14.5,9.1,10.0,2.2,2.2,11.7,19.3,,1.5,1.6,3.2,.106,,0.6,0.3,1.0,1.1
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,39,412,8.8,.510,.563,.194,1.4,14.7,8.1,15.3,0.9,0.0,6.7,12.6,,0.3,0.3,0.6,.074,,-3.3,-0.1,-3.4,-0.2
19,Trevor Ariza\arizatr01,SF,35,MIA,24,655,11.6,.538,.604,.209,3.5,15.5,9.6,10.0,1.6,2.6,7.9,14.8,,0.4,0.8,1.2,.089,,-1.6,0.3,-1.3,0.1
20,D.J. Augustin\augusdj01,PG,33,TOT,51,981,11.7,.559,.626,.259,2.0,6.9,4.4,22.2,1.3,0.1,14.7,16.1,,1.3,0.6,1.9,.091,,-0.7,-1.2,-1.9,0.0
20,D.J. Augustin\augusdj01,PG,33,MIL,37,713,10.2,.542,.672,.208,1.7,5.5,3.7,18.7,1.3,0.1,14.0,14.3,,0.8,0.5,1.2,.084,,-1.0,-1.1,-2.1,0.0
20,D.J. Augustin\augusdj01,PG,33,HOU,14,268,15.6,.592,.532,.362,2.7,10.3,6.3,31.5,1.1,0.0,16.2,20.6,,0.5,0.1,0.6,.110,,-0.1,-1.5,-1.6,0.0
21,Deni Avdija\avdijde01,SF,20,WAS,54,1257,7.6,.515,.538,.144,1.9,20.2,11.1,6.4,1.2,1.0,9.0,12.1,,0.0,1.2,1.2,.047,,-3.6,-0.3,-3.9,-0.6
22,Deandre Ayton\aytonde01,C,22,PHO,64,1959,20.2,.646,.031,.252,12.5,26.5,19.6,6.9,0.9,3.3,11.9,18.6,,4.8,3.0,7.8,.192,,0.8,0.0,0.8,1.4
23,Udoka Azubuike\azubuud01,C,21,UTA,12,49,10.5,.622,.000,.857,9.0,18.6,14.0,0.0,1.0,6.6,23.7,11.1,,0.0,0.1,0.1,.111,,-5.5,1.2,-4.3,0.0
24,Dwayne Bacon\bacondw01,SG,25,ORL,64,1649,9.7,.495,.297,.234,1.4,11.0,6.0,7.4,1.2,0.2,5.6,19.4,,-0.3,0.9,0.6,.018,,-3.5,-1.5,-5.0,-1.3
25,Marvin Bagley III\baglema01,PF,21,SAC,39,1006,16.5,.557,.227,.259,10.5,21.7,16.0,5.8,1.0,1.6,9.9,23.3,,0.8,0.3,1.2,.056,,-0.4,-2.7,-3.2,-0.3
26,LaMelo Ball\ballla01,PG,19,CHO,43,1232,18.3,.557,.405,.236,4.7,17.8,11.2,34.0,2.8,1.4,17.1,25.7,,1.2,1.6,2.8,.109,,1.5,0.8,2.4,1.4
27,Lonzo Ball\balllo01,PG,23,NOP,50,1577,15.7,.558,.656,.090,2.0,14.1,8.1,25.9,2.3,1.7,14.3,20.2,,1.7,1.5,3.2,.098,,1.6,0.3,1.9,1.5
28,Mo Bamba\bambamo01,C,22,ORL,40,570,19.4,.572,.391,.181,10.2,27.2,18.4,7.4,0.9,7.4,10.1,21.7,,0.6,0.9,1.5,.123,,0.2,0.3,0.5,0.4
29,Desmond Bane\banede01,SG,22,MEM,59,1304,11.8,.598,.525,.101,2.2,12.7,7.4,10.1,1.2,0.8,10.3,16.0,,1.3,1.1,2.4,.090,,-1.1,-0.4,-1.4,0.2
30,Harrison Barnes\barneha02,PF,28,SAC,58,2102,15.5,.626,.399,.366,3.4,17.3,10.2,13.0,1.0,0.4,11.1,17.2,,4.1,0.2,4.3,.098,,1.4,-1.6,-0.2,1.0
31,RJ Barrett\barrerj01,SG,20,NYK,64,2225,13.7,.538,.277,.265,3.2,14.8,9.0,13.8,1.1,0.7,10.9,23.5,,1.0,2.7,3.8,.082,,-1.0,-0.5,-1.5,0.3
32,Will Barton\bartowi01,SF,30,DEN,56,1736,11.9,.538,.423,.199,2.6,12.2,7.4,14.0,1.4,1.3,12.7,19.1,,0.8,1.4,2.2,.062,,-0.8,-1.2,-2.0,0.0
33,Keita Bates-Diop\bateske01,SF,25,SAS,23,166,12.1,.505,.341,.386,3.8,16.2,9.9,7.2,2.6,1.5,5.5,14.3,,0.1,0.2,0.3,.087,,-2.8,1.4,-1.4,0.0
34,Nicolas Batum\batumni01,SF,32,LAC,61,1705,12.7,.613,.660,.142,3.2,15.7,9.6,10.6,1.9,1.7,11.2,11.8,,2.4,2.0,4.5,.126,,0.3,0.8,1.1,1.3
35,Aron Baynes\baynear01,C,34,TOR,50,912,9.8,.489,.331,.132,9.7,21.3,15.3,6.8,0.8,2.2,12.6,16.1,,-0.1,0.9,0.8,.042,,-3.8,-1.5,-5.2,-0.8
36,Kent Bazemore\bazemke01,SF,31,GSW,59,1094,11.0,.560,.469,.213,2.4,16.3,9.4,12.0,2.6,2.4,16.5,16.6,,-0.2,1.7,1.5,.065,,-2.8,1.4,-1.4,0.2
37,Darius Bazley\bazleda01,PF,20,OKC,49,1531,9.7,.496,.414,.236,3.0,21.7,12.3,8.3,0.8,1.4,13.8,21.4,,-1.9,1.3,-0.6,-0.019,,-3.1,-1.2,-4.3,-0.9
38,Bradley Beal\bealbr01,SG,27,WAS,55,1952,22.9,.594,.274,.331,3.5,10.5,7.0,22.0,1.5,0.8,10.9,34.3,,3.9,1.5,5.5,.134,,5.0,-1.6,3.3,2.6
39,Malik Beasley\beaslma01,SG,24,MIN,37,1214,14.7,.570,.535,.133,2.4,12.4,7.2,11.7,1.2,0.5,8.6,24.0,,0.9,0.4,1.3,.051,,1.7,-2.3,-0.6,0.4
40,Jordan Bell\belljo01,C,26,WAS,5,67,8.6,.350,.100,.000,9.5,20.5,15.1,9.6,2.1,3.8,13.0,14.3,,-0.1,0.1,0.0,-0.004,,-4.7,-0.8,-5.5,-0.1
41,DeAndre' Bembry\bembrde01,SF,26,TOR,44,773,10.8,.584,.202,.321,3.6,13.4,8.3,15.1,2.3,1.9,23.2,14.0,,0.1,0.8,0.9,.059,,-3.2,0.8,-2.4,-0.1
42,Dāvis Bertāns\bertada01,PF,28,WAS,49,1219,11.8,.623,.902,.239,1.5,11.3,6.4,4.5,1.1,0.9,5.8,15.9,,1.9,0.9,2.7,.107,,0.7,-1.3,-0.6,0.4
43,Patrick Beverley\beverpa01,PG,32,LAC,31,726,12.8,.598,.658,.216,4.3,12.7,8.6,11.8,1.8,2.9,11.5,14.3,,1.1,0.9,2.0,.134,,-0.3,0.9,0.6,0.5
44,Saddiq Bey\beysa01,SF,21,DET,62,1624,12.6,.570,.675,.219,2.4,16.1,9.2,7.7,1.4,0.6,7.3,18.3,,1.5,1.4,2.9,.086,,0.3,-0.9,-0.6,0.6
45,Tyler Bey\beyty01,SF,22,DAL,12,47,8.6,.417,.176,.294,11.8,18.5,15.2,2.9,0.0,2.0,5.0,19.0,,0.0,0.0,0.0,.009,,-4.4,-3.5,-7.9,-0.1
46,Khem Birch\birchkh01,C,28,TOT,60,1299,15.1,.548,.123,.372,12.2,15.2,13.7,8.3,1.6,3.1,8.8,12.8,,2.1,1.3,3.4,.125,,-1.0,-0.3,-1.3,0.2
46,Khem Birch\birchkh01,C,28,ORL,48,952,14.1,.517,.100,.407,12.4,14.3,13.3,8.0,1.6,2.7,8.5,12.2,,1.3,0.9,2.2,.111,,-1.6,-0.6,-2.2,0.0
46,Khem Birch\birchkh01,C,28,TOR,12,347,17.8,.621,.174,.293,11.7,17.7,14.6,9.0,1.5,4.0,9.6,14.3,,0.8,0.4,1.2,.163,,0.8,0.4,1.2,0.3
47,Goga Bitadze\bitadgo01,C,21,IND,37,419,18.1,.547,.366,.294,12.5,18.3,15.4,8.7,0.9,9.0,8.5,19.2,,0.6,0.6,1.3,.145,,-1.3,1.1,-0.2,0.2
48,Bismack Biyombo\biyombi01,C,28,CHO,58,1201,12.0,.570,.005,.468,10.9,17.0,13.9,8.4,0.7,5.5,18.5,11.5,,0.9,1.2,2.2,.086,,-3.0,-0.1,-3.1,-0.3
49,Nemanja Bjelica\bjeline01,PF,32,TOT,35,537,11.5,.537,.423,.269,5.1,19.4,12.2,15.1,1.0,0.7,13.7,18.3,,0.3,0.2,0.5,.042,,-2.2,-1.4,-3.6,-0.2
49,Nemanja Bjelica\bjeline01,PF,32,SAC,26,439,12.8,.555,.387,.280,6.0,19.7,12.7,15.3,0.9,0.4,14.3,19.3,,0.4,0.1,0.4,.046,,-1.3,-1.7,-3.0,-0.1
49,Nemanja Bjelica\bjeline01,PF,32,MIA,9,98,5.9,.423,.640,.200,1.2,18.2,9.8,14.4,1.5,2.1,9.9,13.9,,-0.1,0.1,0.0,.021,,-6.6,-0.1,-6.7,-0.1
